Province,Age,Gender,Education,Total_count,cell,estimate_logodds,estimate,vote_prediction,Liberal_Party,Conservative_Party
Prince Edward Island,25 to 34,Female,Some university,19,Female 25 to 34,0.389039283521029,0.5960514049858975,Liberal Party,19,0
Prince Edward Island,25 to 34,Female,University or above,152,Female 25 to 34,0.4841728201658533,0.6187327401532273,Liberal Party,152,0
Prince Edward Island,35 to 44,Male,No degree,90,Male 35 to 44,0.6554112246670859,0.6582288316632103,Liberal Party,90,0
Prince Edward Island,35 to 44,Male,High School,127,Male 35 to 44,0.11273099232764139,0.5281529397826444,Liberal Party,127,0
Prince Edward Island,35 to 44,Male,College,136,Male 35 to 44,0.20713330684238507,0.5515989740740672,Liberal Party,136,0
Prince Edward Island,35 to 44,Male,Some university,25,Male 35 to 44,0.6159444376182116,0.6492956132205778,Liberal Party,25,0
Prince Edward Island,35 to 44,Male,University or above,112,Male 35 to 44,0.7110779742630359,0.6706393089471498,Liberal Party,112,0
Prince Edward Island,35 to 44,Female,No degree,45,Female 35 to 44,0.5946715434567297,0.644436295350463,Liberal Party,45,0
Prince Edward Island,35 to 44,Female,High School,120,Female 35 to 44,0.051991311117285166,0.5129949007053777,Liberal Party,120,0
Prince Edward Island,35 to 44,Female,College,153,Female 35 to 44,0.14639362563202885,0.5365331841932575,Liberal Party,153,0
Prince Edward Island,35 to 44,Female,Some university,24,Female 35 to 44,0.5552047564078554,0.6353422891065534,Liberal Party,24,0
Prince Edward Island,35 to 44,Female,University or above,150,Female 35 to 44,0.6503382930526797,0.6570866921900893,Liberal Party,150,0
Prince Edward Island,45 to 54,Male,No degree,119,Male 45 to 54,0.304514255690723,0.5755456915382475,Liberal Party,119,0
Prince Edward Island,45 to 54,Male,High School,141,Male 45 to 54,-0.2381659766487214,0.4407383663333915,Conservative Party,0,141
Prince Edward Island,45 to 54,Male,College,131,Male 45 to 54,-0.14376366213397773,0.46412085900264427,Conservative Party,0,131
Prince Edward Island,45 to 54,Male,Some university,21,Male 45 to 54,0.2650474686418489,0.5658766640910868,Liberal Party,21,0
Prince Edward Island,45 to 54,Male,University or above,121,Male 45 to 54,0.3601810052866732,0.5890842496281332,Liberal Party,121,0
Prince Edward Island,45 to 54,Female,No degree,95,Female 45 to 54,1.2763987508356571,0.781836140632059,Liberal Party,95,0
Prince Edward Island,45 to 54,Female,High School,139,Female 45 to 54,0.7337185184962127,0.675620744860342,Liberal Party,139,0
Prince Edward Island,45 to 54,Female,College,160,Female 45 to 54,0.8281208330109564,0.6959574432964557,Liberal Party,160,0
Prince Edward Island,45 to 54,Female,Some university,35,Female 45 to 54,1.236931963786783,0.7750295267011688,Liberal Party,35,0
Prince Edward Island,45 to 54,Female,University or above,143,Female 45 to 54,1.3320655004316073,0.79118208753384,Liberal Party,143,0
Prince Edward Island,55 to 64,Male,No degree,133,Male 55 to 64,0.7573820574906396,0.6807850804787922,Liberal Party,133,0
Prince Edward Island,55 to 64,Male,High School,145,Male 55 to 64,0.21470182515119518,0.5534702131152218,Liberal Party,145,0
Prince Edward Island,55 to 64,Male,College,122,Male 55 to 64,0.30910413966593886,0.576666576738568,Liberal Party,122,0
Prince Edward Island,55 to 64,Male,Some university,27,Male 55 to 64,0.7179152704417655,0.6721477803211171,Liberal Party,27,0
Prince Edward Island,55 to 64,Male,University or above,110,Male 55 to 64,0.8130488070865898,0.6927588058091886,Liberal Party,110,0
Prince Edward Island,55 to 64,Female,No degree,113,Female 55 to 64,2.0312198582700547,0.8840361917660833,Liberal Party,113,0
Prince Edward Island,55 to 64,Female,High School,151,Female 55 to 64,1.4885396259306103,0.8158589772412358,Liberal Party,151,0
Prince Edward Island,55 to 64,Female,College,157,Female 55 to 64,1.582941940445354,0.8296207650493713,Liberal Party,157,0
Prince Edward Island,55 to 64,Female,Some university,44,Female 55 to 64,1.9917530712211806,0.8799284805307643,Liberal Party,44,0
Prince Edward Island,55 to 64,Female,University or above,125,Female 55 to 64,2.086886607866005,0.889622077876457,Liberal Party,125,0
Nova Scotia,25 to 34,Male,No degree,163,Male 25 to 34,0.6212334579524883,0.65049902732298015,Liberal Party,163,0
Nova Scotia,25 to 34,Male,High School,265,Male 25 to 34,0.0785532256130439,0.5196282142710732,Liberal Party,265,0
Nova Scotia,25 to 34,Male,College,229,Male 25 to 34,0.17295554012778735,0.5431314205251645,Liberal Party,229,0
Nova Scotia,25 to 34,Male,Some university,80,Male 25 to 34,0.581766670903614,0.6414738158955761,Liberal Party,80,0
Nova Scotia,25 to 34,Male,University or above,254,Male 25 to 34,0.6769002075484383,0.6630465050741005,Liberal Party,254,0
Nova Scotia,25 to 34,Female,No degree,149,Female 25 to 34,1.187256478361392,0.7662500285287471,Liberal Party,149,0
Nova Scotia,25 to 34,Female,High School,226,Female 25 to 34,0.6445762460219475,0.6557871933895391,Liberal Party,226,0
Nova Scotia,25 to 34,Female,College,270,Female 25 to 34,0.738978560536691,0.6767724551819415,Liberal Party,270,0
Nova Scotia,25 to 34,Female,Some university,96,Female 25 to 34,1.1477896913125176,0.7591069634975445,Liberal Party,96,0
Nova Scotia,25 to 34,Female,University or above,322,Female 25 to 34,1.242923227957342,0.776072434492906,Liberal Party,322,0
Nova Scotia,35 to 44,Male,No degree,168,Male 35 to 44,0.7349628012615682,0.6758933789671046,Liberal Party,168,0
Nova Scotia,35 to 44,Male,High School,248,Male 35 to 44,0.1922825689221237,0.5479230797856413,Liberal Party,248,0
Nova Scotia,35 to 44,Male,College,245,Male 35 to 44,0.2866848834368674,0.571184344498393,Liberal Party,245,0
Nova Scotia,35 to 44,Male,Some university,91,Male 35 to 44,0.6954960142126939,0.6671884252067286,Liberal Party,91,0
Nova Scotia,35 to 44,Male,University or above,246,Male 35 to 44,0.7906295508575182,0.6879664913725855,Liberal Party,246,0
Nova Scotia,35 to 44,Female,No degree,155,Female 35 to 44,0.6277479326901182,0.6519786375579603,Liberal Party,155,0
Nova Scotia,35 to 44,Female,High School,224,Female 35 to 44,0.08506770035067368,0.5212541094954809,Liberal Party,224,0
Nova Scotia,35 to 44,Female,College,294,Female 35 to 44,0.17947001486541736,0.5447474604178818,Liberal Party,294,0
Nova Scotia,35 to 44,Female,Some university,106,Female 35 to 44,0.5882811456412439,0.6429706635768397,Liberal Party,106,0
Nova Scotia,35 to 44,Female,University or above,314,Female 35 to 44,0.6834146822860682,0.6645003924952381,Liberal Party,314,0
Nova Scotia,45 to 54,Male,No degree,220,Male 45 to 54,0.4055961955651546,0.6000314605772239,Liberal Party,220,0
Nova Scotia,45 to 54,Male,High School,264,Male 45 to 54,-0.13708403677428982,0.46578255863886836,Conservative Party,0,264
Nova Scotia,45 to 54,Male,College,271,Male 45 to 54,-0.04268172225954614,0.48933118902650435,Conservative Party,0,271
Nova Scotia,45 to 54,Male,Some university,105,Male 45 to 54,0.3661294085162805,0.5905233770364309,Liberal Party,105,0
Nova Scotia,45 to 54,Male,University or above,251,Male 45 to 54,0.4612629451611048,0.6133137390397204,Liberal Party,251,0
Nova Scotia,45 to 54,Female,No degree,182,Female 45 to 54,1.271626874696154,0.7810211148312934,Liberal Party,182,0
Nova Scotia,45 to 54,Female,High School,281,Female 45 to 54,0.7289466423567097,0.6745740779490321,Liberal Party,281,0
Nova Scotia,45 to 54,Female,College,328,Female 45 to 54,0.8233489568714534,0.6949467679092571,Liberal Party,328,0
Nova Scotia,45 to 54,Female,Some university,130,Female 45 to 54,1.23216008764728,0.7741964164986282,Liberal Party,130,0
Nova Scotia,45 to 54,Female,University or above,286,Female 45 to 54,1.3272936242921043,0.7903926161393868,Liberal Party,286,0
Nova Scotia,55 to 64,Male,No degree,261,Male 55 to 64,0.7921216514281415,0.6882867086412198,Liberal Party,261,0
Nova Scotia,55 to 64,Male,High School,279,Male 55 to 64,0.2494414190886971,0.5620390103140037,Liberal Party,279,0
Nova Scotia,55 to 64,Male,College,250,Male 55 to 64,0.3438437336034408,0.5851239085844596,Liberal Party,250,0
Nova Scotia,55 to 64,Male,Some university,108,Male 55 to 64,0.7526548643792674,0.6797569054432224,Liberal Party,108,0
Nova Scotia,55 to 64,Male,University or above,241,Male 55 to 64,0.8477884010240917,0.7001030034262078,Liberal Party,241,0
Nova Scotia,55 to 64,Female,No degree,236,Female 55 to 64,1.6358468603853233,0.8369690265251439,Liberal Party,236,0
Nova Scotia,55 to 64,Female,High School,310,Female 55 to 64,1.093166628045879,0.7489775491800387,Liberal Party,310,0
Nova Scotia,55 to 64,Female,College,315,Female 55 to 64,1.1875689425606226,0.7663059896235994,Liberal Party,315,0
Nova Scotia,55 to 64,Female,Some university,146,Female 55 to 64,1.5963800733364493,0.831511842205114,Liberal Party,146,0
Nova Scotia,55 to 64,Female,University or above,266,Female 55 to 64,1.6915136099812735,0.8444231106172989,Liberal Party,266,0
New Brunswick,25 to 34,Male,No degree,161,Male 25 to 34,0.31409510561107945,0.5778845139449182,Liberal Party,161,0
New Brunswick,25 to 34,Male,High School,247,Male 25 to 34,-0.22858512672836495,0.4431012549504271,Conservative Party,0,247
New Brunswick,25 to 34,Male,College,214,Male 25 to 34,-0.1341828122136215,0.4665045390951045,Conservative Party,0,214
New Brunswick,25 to 34,Male,Some university,38,Male 25 to 34,0.27462831856220515,0.5682287956720582,Liberal Party,38,0
New Brunswick,25 to 34,Male,University or above,188,Male 25 to 34,0.3697618552070294,0.5914014330018458,Liberal Party,188,0
New Brunswick,25 to 34,Female,No degree,137,Female 25 to 34,0.744748613451703,0.6780333732892124,Liberal Party,137,0
New Brunswick,25 to 34,Female,High School,203,Female 25 to 34,0.20206838111225855,0.55034590296891,Liberal Party,203,0
New Brunswick,25 to 34,Female,College,247,Female 25 to 34,0.296470695627002,0.5735795231844049,Liberal Party,247,0
New Brunswick,25 to 34,Female,Some university,61,Female 25 to 34,0.7052818264028287,0.6693577789938894,Liberal Party,61,0
New Brunswick,25 to 34,Female,University or above,255,Female 25 to 34,0.8004153630476529,0.6900633242993336,Liberal Party,255,0
New Brunswick,35 to 44,Male,No degree,166,Male 35 to 44,0.6143285632660965,0.6489275724398824,Liberal Party,166,0
New Brunswick,35 to 44,Male,High School,249,Male 35 to 44,0.07164833092665202,0.517904424048377,Liberal Party,249,0
New Brunswick,35 to 44,Male,College,243,Male 35 to 44,0.1660506454413957,0.5414175385480714,Liberal Party,243,0
New Brunswick,35 to 44,Male,Some university,72,Male 35 to 44,0.5748617762172222,0.6398842461159441,Liberal Party,72,0
New Brunswick,35 to 44,Male,University or above,195,Male 35 to 44,0.6699953128620465,0.6615021096735563,Liberal Party,195,0
New Brunswick,35 to 44,Female,No degree,148,Female 35 to 44,0.5122860650289524,0.625342228384622,Liberal Party,148,0
New Brunswick,35 to 44,Female,High School,223,Female 35 to 44,-0.03039416731049216,0.49240204308284446,Conservative Party,0,223
New Brunswick,35 to 44,Female,College,281,Female 35 to 44,0.06400814720425152,0.5159965756192385,Liberal Party,281,0
New Brunswick,35 to 44,Female,Some university,97,Female 35 to 44,0.47281927798007806,0.6160508242407897,Liberal Party,97,0
New Brunswick,35 to 44,Female,University or above,260,Female 35 to 44,0.5679528146249023,0.6382906637441884,Liberal Party,260,0
New Brunswick,45 to 54,Male,No degree,206,Male 45 to 54,0.13239369459138794,0.5330501622257453,Liberal Party,206,0
New Brunswick,45 to 54,Male,High School,274,Male 45 to 54,-0.41028653774805646,0.3988434167654061,Conservative Party,0,274
New Brunswick,45 to 54,Male,College,232,Male 45 to 54,-0.3158842232333128,0.4216791203541528,Conservative Party,0,232
New Brunswick,45 to 54,Male,Some university,79,Male 45 to 54,0.09292690754251387,0.5232150233521627,Liberal Party,79,0
New Brunswick,45 to 54,Male,University or above,197,Male 45 to 54,0.18806044418733814,0.546877035124867,Liberal Party,197,0
New Brunswick,45 to 54,Female,No degree,173,Female 45 to 54,0.8214643830082242,0.6945470995287046,Liberal Party,173,0
New Brunswick,45 to 54,Female,High School,284,Female 45 to 54,0.2787841506687798,0.569248117106728,Liberal Party,284,0
New Brunswick,45 to 54,Female,College,285,Female 45 to 54,0.3731864651835235,0.5922287157842819,Liberal Party,285,0
New Brunswick,45 to 54,Female,Some university,116,Female 45 to 54,0.7819975959593501,0.6861104818305073,Liberal Party,116,0
New Brunswick,45 to 54,Female,University or above,233,Female 45 to 54,0.8771311326041744,0.7062273687393514,Liberal Party,233,0
New Brunswick,55 to 64,Male,No degree,259,Male 55 to 64,0.44178277250673914,0.6086837476644232,Liberal Party,259,0
New Brunswick,55 to 64,Male,High School,275,Male 55 to 64,-0.10089745983270526,0.47479701257387547,Conservative Party,0,275
New Brunswick,55 to 64,Male,College,210,Male 55 to 64,-0.0064951453179615815,0.49837621937902987,Conservative Party,0,210
New Brunswick,55 to 64,Male,Some university,93,Male 55 to 64,0.40231598545786507,0.5992439731065783,Liberal Party,93,0
New Brunswick,55 to 64,Male,University or above,183,Male 55 to 64,0.49744952210268933,0.6218597724930439,Liberal Party,183,0
New Brunswick,55 to 64,Female,No degree,234,Female 55 to 64,0.829096428026002,0.6961638403910938,Liberal Party,234,0
New Brunswick,55 to 64,Female,High School,319,Female 55 to 64,0.28641619568655763,0.5711185327999706,Liberal Party,319,0
New Brunswick,55 to 64,Female,College,267,Female 55 to 64,0.3808185102013013,0.5940705024636297,Liberal Party,267,0
New Brunswick,55 to 64,Female,Some university,114,Female 55 to 64,0.789629640977128,0.687751801787391,Liberal Party,114,0
New Brunswick,55 to 64,Female,University or above,192,Female 55 to 64,0.8847631776219522,0.7078082952461724,Liberal Party,192,0
Quebec,25 to 34,Male,No degree,379,Male 25 to 34,0.8584246106597408,0.7023314053111266,Liberal Party,379,0
Quebec,25 to 34,Male,High School,399,Male 25 to 34,0.31574437832029645,0.5782867758752157,Liberal Party,399,0
Quebec,25 to 34,Male,College,402,Male 25 to 34,0.4101466928350399,0.601123052516716,Liberal Party,402,0
Quebec,25 to 34,Male,Some university,237,Male 25 to 34,0.8189578236108666,0.6940150702157651,Liberal Party,237,0
Quebec,25 to 34,Male,University or above,436,Male 25 to 34,0.9140913602556908,0.7138366514754545,Liberal Party,436,0
Quebec,25 to 34,Female,No degree,355,Female 25 to 34,1.2533549939079462,0.7778800863299461,Liberal Party,355,0
Quebec,25 to 34,Female,High School,375,Female 25 to 34,0.7106747615685018,0.6705502403024656,Liberal Party,375,0
Quebec,25 to 34,Female,College,424,Female 25 to 34,0.8050770760832453,0.6910594681150656,Liberal Party,424,0
Quebec,25 to 34,Female,Some university,301,Female 25 to 34,1.213888206859072,0.7709861993000736,Liberal Party,301,0
Quebec,25 to 34,Female,University or above,448,Female 25 to 34,1.3090217435038962,0.787349412125485,Liberal Party,448,0
Quebec,35 to 44,Male,No degree,373,Male 35 to 44,0.8053662654195085,0.6911212055509011,Liberal Party,373,0
Quebec,35 to 44,Male,High School,397,Male 35 to 44,0.262686033080064,0.5652964632164366,Liberal Party,397,0
Quebec,35 to 44,Male,College,416,Male 35 to 44,0.3570883475948077,0.5883354228372902,Liberal Party,416,0
Quebec,35 to 44,Male,Some university,290,Male 35 to 44,0.7658994783706342,0.6826332017907707,Liberal Party,290,0
Quebec,35 to 44,Male,University or above,440,Male 35 to 44,0.8610330150154585,0.702876435593508,Liberal Party,440,0
Quebec,35 to 44,Female,No degree,356,Female 35 to 44,0.9565002620032509,0.7224205524015749,Liberal Party,356,0
Quebec,35 to 44,Female,High School,380,Female 35 to 44,0.4138200296638064,0.6020034956140452,Liberal Party,380,0
Quebec,35 to 44,Female,College,431,Female 35 to 44,0.5082223441785501,0.6243896580800548,Liberal Party,431,0
Quebec,35 to 44,Female,Some university,339,Female 35 to 44,0.9170334749543766,0.7144372703776491,Liberal Party,339,0
Quebec,35 to 44,Female,University or above,447,Female 35 to 44,1.012167011599201,0.7334440226939183,Liberal Party,447,0
Quebec,45 to 54,Male,No degree,404,Male 45 to 54,0.40864350782331393,0.6007625729135093,Liberal Party,404,0
Quebec,45 to 54,Male,High School,420,Male 45 to 54,-0.13403672451613047,0.4665408972948298,Conservative Party,0,420
Quebec,45 to 54,Male,College,417,Male 45 to 54,-0.03963441000138679,0.49009269440338044,Conservative Party,0,417
Quebec,45 to 54,Male,Some university,298,Male 45 to 54,0.36917672077443986,0.5912600301781324,Liberal Party,298,0
Quebec,45 to 54,Male,University or above,433,Male 45 to 54,0.4643102574192641,0.6140361895814066,Liberal Party,433,0
Quebec,45 to 54,Female,No degree,381,Female 45 to 54,1.0405101469199676,0.7389484272819794,Liberal Party,381,0
Quebec,45 to 54,Female,High School,425,Female 45 to 54,0.49782991458052317,0.621949217711435,Liberal Party,425,0
Quebec,45 to 54,Female,College,434,Female 45 to 54,0.5922322290952668,0.6438771586334555,Liberal Party,434,0
Quebec,45 to 54,Female,Some university,341,Female 45 to 54,1.0010433598710935,0.7312636661707822,Liberal Party,341,0
Quebec,45 to 54,Female,University or above,439,Female 45 to 54,1.0961768965159178,0.7495430860061101,Liberal Party,439,0
Quebec,55 to 64,Male,No degree,427,Male 55 to 64,0.7424695687832408,0.677535646717856,Liberal Party,427,0
Quebec,55 to 64,Male,High School,437,Male 55 to 64,0.19978933644379637,0.5497818540438331,Liberal Party,437,0
Quebec,55 to 64,Male,College,408,Male 55 to 64,0.29419165095854005,0.5730220073935067,Liberal Party,408,0
Quebec,55 to 64,Male,Some university,305,Male 55 to 64,0.7030027817343667,0.6688531909771349,Liberal Party,305,0
Quebec,55 to 64,Male,University or above,421,Male 55 to 64,0.798136318379191,0.6895756804769769,Liberal Party,421,0
Quebec,55 to 64,Female,No degree,422,Female 55 to 64,0.9076587665019717,0.7125208351490352,Liberal Party,422,0
Quebec,55 to 64,Female,High School,444,Female 55 to 64,0.36497853416252735,0.5902450603023217,Liberal Party,444,0
Quebec,55 to 64,Female,College,426,Female 55 to 64,0.459380848677271,0.6128672859620234,Liberal Party,426,0
Quebec,55 to 64,Female,Some university,345,Female 55 to 64,0.8681919794530977,0.7043693473140018,Liberal Party,345,0
Quebec,55 to 64,Female,University or above,419,Female 55 to 64,0.9633255160979219,0.7237871345661698,Liberal Party,419,0
Ontario,25 to 34,Male,No degree,395,Male 25 to 34,0.34027345080103544,0.5842569458747146,Liberal Party,395,0
Ontario,25 to 34,Male,High School,454,Male 25 to 34,-0.20240678153840896,0.44957035609897794,Conservative Party,0,454
Ontario,25 to 34,Male,College,449,Male 25 to 34,-0.1080044670236655,0.4730250999194434,Conservative Party,0,449
Ontario,25 to 34,Male,Some university,280,Male 25 to 34,0.30080666375216114,0.5746397006190186,Liberal Party,280,0
Ontario,25 to 34,Male,University or above,463,Male 25 to 34,0.3959402003969854,0.5977118600161488,Liberal Party,463,0
Ontario,25 to 34,Female,No degree,367,Female 25 to 34,0.7579169777029588,0.6809013163599126,Liberal Party,367,0
Ontario,25 to 34,Female,High School,442,Female 25 to 34,0.21523674536351445,0.553602410013058,Liberal Party,442,0
Ontario,25 to 34,Female,College,456,Female 25 to 34,0.3096390598782579,0.5767971572985989,Liberal Party,456,0
Ontario,25 to 34,Female,Some university,303,Female 25 to 34,0.7184501906540846,0.6722656472328956,Liberal Party,303,0
Ontario,25 to 34,Female,University or above,468,Female 25 to 34,0.8135837272989088,0.692872648648629,Liberal Party,468,0
Ontario,35 to 44,Male,No degree,391,Male 35 to 44,0.29621021568325656,0.5735158122021548,Liberal Party,391,0
Ontario,35 to 44,Male,High School,450,Male 35 to 44,-0.24647001665618795,0.43869253816264064,Conservative Party,0,450
Ontario,35 to 44,Male,College,446,Male 35 to 44,-0.15206770214144427,0.46205616592043436,Conservative Party,0,446
Ontario,35 to 44,Male,Some university,292,Male 35 to 44,0.25674342863438226,0.563835586594056,Liberal Party,292,0
Ontario,35 to 44,Male,University or above,461,Male 35 to 44,0.35187696527920653,0.5870726639875739,Liberal Party,461,0
Ontario,35 to 44,Female,No degree,372,Female 35 to 44,0.5054715816858409,0.623744309009275,Liberal Party,372,0
Ontario,35 to 44,Female,High School,443,Female 35 to 44,-0.03720865065360357,0.4906989104124028,Conservative Party,0,443
Ontario,35 to 44,Female,College,459,Female 35 to 44,0.05719366386114011,0.5142945195926953,Liberal Party,459,0
Ontario,35 to 44,Female,Some university,332,Female 35 to 44,0.46600479463696665,0.614437710010613,Liberal Party,332,0
Ontario,35 to 44,Female,University or above,467,Female 35 to 44,0.5611383312817909,0.6367158872415727,Liberal Party,467,0
Ontario,45 to 54,Male,No degree,428,Male 45 to 54,-0.02038724028960015,0.49490336645659017,Conservative Party,0,428
Ontario,45 to 54,Male,High School,458,Male 45 to 54,-0.5630674726290446,0.3628380032507952,Conservative Party,0,458
Ontario,45 to 54,Male,College,452,Male 45 to 54,-0.4686651581143009,0.3849322314025067,Conservative Party,0,452
Ontario,45 to 54,Male,Some university,326,Male 45 to 54,-0.059854027338474225,0.4850409588015635,Conservative Party,0,326
Ontario,45 to 54,Male,University or above,462,Male 45 to 54,0.03527950930635004,0.5088189626399809,Liberal Party,462,0
Ontario,45 to 54,Female,No degree,415,Female 45 to 54,0.5705943713450432,0.638900311920172,Liberal Party,415,0
Ontario,45 to 54,Female,High School,460,Female 45 to 54,0.027914139005598804,0.5069780816476729,Liberal Party,460,0
Ontario,45 to 54,Female,College,464,Female 45 to 54,0.12231645352034248,0.5305410450225363,Liberal Party,464,0
Ontario,45 to 54,Female,Some university,346,Female 45 to 54,0.5311275842961691,0.6297460646828483,Liberal Party,346,0
Ontario,45 to 54,Female,University or above,466,Female 45 to 54,0.6262611209409934,0.6516412000779487,Liberal Party,466,0
Ontario,55 to 64,Male,No degree,441,Male 55 to 64,0.19519791232460304,0.5486451188066184,Liberal Party,441,0
